u,v,length
68145665,68155527,134.654
68145665,462857016,143.061
68147058,69555000,291.426
68147058,2511829141,18.206
68147083,2511829139,217.706
68147084,1400950462,28.574
68147084,5649592816,6.028
68147084,68147083,24.863999999999997
68147089,2511829126,209.912
68147089,2511829139,38.156
68148015,68148029,398.412
68148015,68155945,812.878
68148029,68286902,41.82899999999999
68148029,1579075363,110.89199999999998
68148035,1579075363,50.138
68148035,1579075439,51.446999999999996
68148035,5430683905,199.96499999999997
68148054,68156351,634.338
68151642,1917048970,380.445
68155527,68145665,134.654
68155527,68180823,93.164
68155945,68155950,252.171
68155950,5232596988,69.205
68156267,68378800,387.04599999999994
68156351,1087286754,338.279
68156351,316541311,443.529
68158522,68439240,48.534
68158522,68158524,51.88
68158522,68441620,89.98400000000001
68158524,68439240,15.624
68158524,68158522,51.88
68158524,68207150,407.35299999999995
68158524,68208843,178.755
68161961,384328007,185.487
68161961,68176132,48.122
68161961,68176127,104.583
68162910,68162923,32.659
68162910,68162923,43.316
68162910,6702559857,63.516
68162923,68162933,37.986
68162923,68162910,32.659
68162923,68162910,43.316
68162933,68317213,47.7
68162933,68162944,69.271
68162933,68162923,37.986
68162944,68162933,69.271
68162944,68332339,31.384
68162944,68313596,410.872
68163805,68196259,60.414
68164022,68279760,87.053
68164022,384327230,229.048
68164022,68214812,95.129
68166293,68166295,304.487
68166293,68245630,93.285
68166293,68294097,100.089
68166293,68237149,225.401
68166295,68166293,304.487
68166295,68323438,106.214
68166295,68166297,77.53999999999999
68166297,68166295,77.53999999999999
68166297,68418076,113.76599999999999
68166297,68188924,254.575
68167543,68210513,218.96400000000003
68167543,68210498,94.977
68168815,68168817,112.027
68168815,68250906,223.956
68168815,68196571,204.373
68168817,68168819,101.676
68168817,68168815,112.027
68168817,68374070,205.16400000000002
68168819,68168817,101.676
68168819,68334374,189.811
68168819,68196574,192.821
68168819,68168822,137.402
68168822,68168825,215.498
68168822,68168819,137.402
68168822,68280717,157.676
68168822,68196575,184.231
68168825,68325905,62.079
68168825,68168829,225.18
68168825,68168822,215.498
68168825,68325907,121.428
68168829,68168825,225.18
68168829,68311171,104.859
68168829,68196588,160.815
68168838,68196528,54.406
68169625,68203937,57.455
68169625,68169653,308.451
68169625,8408792065,227.911
68169653,68169625,308.451
68169653,8408792078,75.53099999999999
68169653,68261077,174.272
68169769,68169771,83.212
68169769,68207747,77.727
68169769,68294585,279.572
68169771,68169769,83.212
68169771,68242955,140.996
68169771,68254228,404.78000000000003
68170295,68170310,132.079
68170310,68298555,51.024
68170310,68170295,132.079
68170310,1594148685,175.35199999999998
68173966,68173968,120.937
68173966,68314144,108.285
68173966,68314143,241.454
68173968,68173972,117.09
68173968,68173966,120.937
68173968,68383193,101.082
68173968,68449756,130.132
68173972,68173968,117.09
68173972,68296085,241.481
68173972,68296083,100.3
68175279,68175284,57.695
68175284,68175279,57.695
68175284,68385112,306.26099999999997
68175452,68369689,147.353
68175452,68175462,170.673
68175452,69187013,99.231
68175462,68175468,99.512
68175462,68190686,102.411
68175462,68175452,170.673
68175468,68175474,77.0
68175468,68175462,99.512
68175468,68188918,315.451
68175474,68175468,77.0
68175474,68188920,293.04
68175474,68175478,96.74199999999999
68175478,68245562,107.249
68175478,68245559,105.462
68175478,68175481,123.11500000000001
68175478,68175474,96.74199999999999
68175481,68317394,106.925
68175481,68175478,123.11500000000001
68175481,68317395,91.37100000000001
68176123,68176125,99.572
68176125,68176127,253.403
68176125,68176123,99.572
68176125,68294156,143.256
68176127,68176125,253.403
68176127,384328005,204.199
68176127,68271800,133.061
68176127,68161961,104.583
68176132,68161961,48.122
68177487,68390029,562.27
68178034,68178036,163.143
68178034,68196627,116.864
68178034,68196619,140.78799999999998
68178036,68178037,97.774
68178036,68295227,88.683
68178036,68178034,163.143
68178037,68178036,97.774
68178037,68304705,138.228
68178037,68178046,82.712
68178046,68178037,82.712
68178806,68178828,194.739
68178806,69616279,479.03600000000006
68178806,7787778511,149.966
68178828,68178830,14.372
68178828,68178806,194.73900000000003
68178828,68212427,108.46800000000002
68178830,68178828,14.372
68178830,68178861,536.1910000000001
68178830,68280751,189.57400000000004
68178861,68178863,15.356
68178861,68178830,536.191
68178863,68178861,15.356000000000002
68178863,68313582,137.237
68178863,68237646,103.0
68178863,68313596,109.549
68178915,68275263,113.505
68179220,68179222,304.11600000000004
68179220,68213877,66.972
68179220,68253267,116.281
68179222,68179220,304.11600000000004
68179222,68433838,109.43
68179222,384328105,99.249
68180209,68277063,66.459
68180209,68180211,157.811
68180209,68294130,70.925
68180211,68180209,157.811
68180213,654423560,14.752
68180213,68365194,110.702
68180215,462897450,51.348
68180215,654423560,216.68699999999998
68180215,68334951,390.96599999999995
68180752,68180754,82.03399999999999
68180752,68211383,85.955
68180752,68234435,279.61899999999997
68180754,68180759,164.69
68180754,68180752,82.03399999999999
68180754,68322203,486.486
68180759,68180776,193.081
68180759,68180754,164.69
68180759,68234435,194.98900000000003
68180776,68228562,244.323
68180776,68180784,76.577
68180776,68180759,193.081
68180784,68180790,43.962
68180784,68180776,76.577
68180784,1594148685,30.704
68180790,68180804,111.33
68180790,68180784,43.962
68180790,68210498,58.382999999999996
68180790,1594148685,52.8
68180790,68228564,279.94899999999996
68180804,68210498,90.783
68180804,68180808,128.333
68180804,68180790,111.33
68180808,68180812,160.853
68180808,68180804,128.333
68180808,1594148690,52.905
68180812,68180808,160.853
68180812,462857016,154.375
68180812,68428949,503.44300000000004
68180812,68210513,127.584
68180823,462847564,261.517
68180823,68155527,93.164
68182175,68282043,178.284
68182175,68282039,125.953
68182175,68319813,306.99800000000005
68182175,7229854943,115.152
68184832,68184835,84.80000000000001
68184835,68184832,84.80000000000001
68184835,68280723,53.345
68184835,68280721,85.887
68185285,68185289,224.80200000000002
68185285,68244570,142.653
68185285,68207711,126.15200000000002
68185285,68191152,138.254
68185289,68185285,224.80200000000002
68185289,68207711,353.545
68185289,68391785,54.897
68186082,68186087,51.253
68186082,69499959,110.896
68186082,68315374,189.01
68186082,68451487,121.98100000000001
68186087,68186082,51.253
68186091,5697439033,30.828
68186091,68307835,127.434
68186091,68307832,189.845
68188826,68188828,79.991
68188826,68279766,56.327
68188826,68279762,129.353
68188828,68188826,79.991
68188849,5423894310,47.581
68188854,5423894310,261.411
68188854,68390036,55.882000000000005
68188854,68245644,142.47400000000002
68188910,68188933,15.014
68188910,68369691,84.453
68188910,68188915,162.32
68188910,69209935,100.645
68188915,68190690,123.695
68188915,68188937,14.412
68188915,68188918,96.016
68188915,68188910,162.32
68188918,68175468,315.451
68188918,68188920,78.847
68188918,68188915,96.016
68188918,68219859,136.37
68188920,68261365,75.463
68188920,68175474,293.04
68188920,68188918,78.847
68188920,68188924,221.87400000000002
68188924,68294023,89.67
68188924,68245575,47.539
68188924,68166297,254.575
68188924,68188920,221.87400000000002
68188933,68188935,64.304
68188933,68188910,15.014
68188933,68297408,94.756
68188933,315576032,102.50999999999999
68188935,68188937,96.8
68188935,68188933,64.304
68188935,68297410,73.686
68188937,68188935,96.8
68188937,68188915,14.412
68188937,68190687,85.956
68188946,384328105,303.13
