u,v,length
68147083,2511829139,217.706
68147084,1400950462,28.574
68147084,5649592816,6.028
68147084,68147083,24.863999999999997
68147089,2511829126,209.912
68196556,69133293,19.928
68196556,5649592816,21.656
68196556,2511829122,32.149
68204066,9302824075,2830.1690000000003
68367940,1400950462,3557.511
68402232,69419502,235.641
69101504,2253272382,9.587
69101504,2253272477,503.36799999999994
69102633,69594988,939.2009999999999
69102642,69150809,133.598
69102642,3382299289,207.518
69109821,1929996308,60.036
69109821,1929996336,100.965
69109828,69109861,111.38199999999999
69109828,4453723417,326.26899999999995
69109861,69324146,78.084
69112333,69167151,589.0350000000001
69114062,69102642,123.40299999999999
69114062,69616413,415.49800000000005
69115445,5173481686,14.051
69115445,5173481694,134.90699999999998
69118334,5173481688,62.873000000000005
69120868,5426326848,219.47900000000004
69124438,4402667583,11.022
69124438,4402671249,26.072
69124550,69221847,39.299
69124550,69292876,434.30000000000007
69129631,69613927,103.695
69129631,5408449898,220.048
69131077,69233189,1167.374
69131077,2672279831,56.84
69133293,68196556,19.928
69133293,5649592815,6.724
69133293,2511829122,28.896
69134855,1600746504,33.894
69134855,2909537441,149.888
69134855,69172654,2556.9419999999996
69141233,69262915,71.97999999999999
69142135,69258170,1047.6799999999998
69142135,69537103,2055.5049999999997
69146707,69256333,2464.8660000000013
69146707,5292420707,895.722
69146707,69146733,289.40299999999996
69146707,69292799,784.144
69146733,4510476479,1392.7719999999997
69146733,69146775,802.8310000000002
69146733,69146707,289.40299999999996
69146733,69172091,935.3760000000001
69146775,69172106,935.493
69146775,69146733,802.8309999999999
69146775,69256333,1780.181
69146775,69614574,1216.9900000000002
69149882,69292799,140.88
69149882,69149894,190.75199999999998
69149882,69292859,409.051
69149894,69154661,18.704
69149894,1581270420,502.36100000000005
69150809,69515896,255.47299999999998
69150809,69102642,133.598
69151302,5947379191,174.33200000000002
69154661,69149894,18.704
69154661,69149882,190.72500000000002
69154661,69191500,2242.5749999999994
69156536,7138612590,2247.3310000000006
69156539,5408449898,33.009
69156539,69562456,71.013
69156552,69156539,114.679
69156552,69573611,552.453
69156552,69326333,69.397
69157530,69157532,35.819
69157530,69381912,297.329
69157530,69515924,23.987000000000002
69157530,2253448797,177.77200000000002
69157532,69515924,30.747999999999998
69157532,69576791,369.982
69157532,69157530,35.819
69167140,69172566,144.687
69167140,69373146,145.774
69167140,69171482,149.95200000000003
69167141,69171479,149.363
69167141,69167140,131.203
69167148,5006641311,332.78499999999997
69167148,69167141,123.18599999999999
69167151,69167148,154.473
69167151,69171473,148.676
69167153,69545590,294.29
69167153,69167151,132.131
69167160,69167153,42.685
69167160,69167206,1131.296
69167206,69167160,1131.296
69171444,69172654,1396.1219999999998
69171444,69363538,1218.133
69171444,69594647,1062.682
69171444,69506018,176.408
69171473,69356492,146.659
69171476,69167148,149.34400000000002
69171476,69171473,146.773
69171479,69326288,144.862
69171479,69171476,135.12900000000002
69171482,69476287,145.37799999999996
69171482,69171479,126.87
69171482,69167140,149.95200000000003
69171513,6521799668,129.977
69171513,69171482,292.41700000000003
69171544,6521799668,273.525
69171544,3633073271,76.323
69172080,69342310,190.044
69172080,5292420711,56.577
69172091,69172101,409.38800000000003
69172091,69146733,935.376
69172091,69342303,192.06899999999996
69172101,69172106,378.488
69172106,69146775,935.4929999999997
69172112,69589540,1042.5710000000004
69172419,5441892389,131.161
69172419,5423954709,894.627
69172569,6521799667,153.16099999999997
69172654,5173481694,1375.3699999999997
69172654,69171444,1396.1219999999996
69172654,69190067,974.7020000000002
69172654,69134855,2556.941999999999
69172899,69306801,45.261
69172899,2909537442,2045.1439999999998
69172899,5941482555,47.952
69178704,5442365908,908.937
69189264,69425053,1319.043
69189264,2911510962,375.271
69189823,69193533,1021.6369999999998
69190067,69594647,1345.1050000000002
69190067,69172654,974.702
69190067,5941482559,5069.546999999994
69190067,69190088,1064.023
69190088,4136953692,48.193999999999996
69190088,69190110,1078.744
69190088,69190067,1064.0230000000001
69190110,69190088,1078.7440000000001
69191500,69154661,2242.5750000000003
69191500,5649592815,17.367
69191561,69465389,579.7399999999999
69191561,69191620,392.03299999999996
69191620,69407564,109.58500000000001
69191620,69191561,392.529
69193021,2253202319,17.637
69193021,5466095725,52.385000000000005
69193465,69233166,27.034
69193465,588870569,34.922
69193465,69193472,393.596
69193472,69193465,393.596
69193472,69427906,471.469
69193472,69255167,1412.829
69193533,5940874978,2075.5420000000004
69193533,69189823,1021.6370000000001
69193533,69221847,3185.451999999999
69195707,5430680549,46.275999999999996
69195707,69349366,1171.9429999999998
69195707,5430680552,51.041
69202382,344924939,14.643
69202382,344924544,32.676
69202382,7138426984,36.793
69207768,5466095725,967.8160000000003
69208060,69349366,441.83400000000006
69208060,9345557114,30.379
