osmid,y,x
68145665,33.7271722,-84.3245596
68147058,33.7623362,-84.3492193
68147083,33.7604903,-84.3489307
68147084,33.7602763,-84.3488601
68147089,33.761836,-84.3491721
68148015,33.7452729,-84.3386598
68148029,33.7440899,-84.3346517
68148035,33.7453906,-84.3338871
68148054,33.7455423,-84.3387487
68151642,33.7398262,-84.3276743
68155527,33.7264536,-84.323388
68155945,33.7422551,-84.3310142
68155950,33.740322,-84.3295914
68156267,33.7442203,-84.3487144
68156351,33.7456604,-84.3456079
68158522,33.747225,-84.306113
68158524,33.7473868,-84.3066393
68161961,33.7526716,-84.2975596
68162910,33.772621,-84.3325482
68162923,33.772845,-84.332333
68162933,33.773177,-84.332278
68162944,33.773496,-84.331695
68163805,33.7388742,-84.290486
68164022,33.749435,-84.325217
68166293,33.7534131,-84.3396521
68166295,33.750675,-84.339611
68166297,33.7499777,-84.3396026
68167543,33.730642,-84.328899
68168815,33.762905,-84.345525
68168817,33.763057,-84.344327
68168819,33.763207,-84.343242
68168822,33.7634531,-84.3417854
68168825,33.7638448,-84.3395023
68168829,33.763917,-84.337088
68168838,33.7616737,-84.3304293
68169625,33.804555,-84.3480443
68169653,33.802783,-84.346717
68169769,33.737233,-84.33213
68169771,33.737373,-84.331246
68170295,33.7318158,-84.3333729
68170310,33.7322682,-84.3321516
68173966,33.759366,-84.321482
68173968,33.759442,-84.320177
68173972,33.759474,-84.318911
68175279,33.8005445,-84.3391659
68175284,33.8009764,-84.3388248
68175452,33.752417,-84.34816
68175462,33.7519359,-84.3464073
68175468,33.7516311,-84.3453953
68175474,33.7515663,-84.3445661
68175478,33.7515285,-84.3435214
68175481,33.7515037,-84.3421901
68176123,33.7525945,-84.3024728
68176125,33.7525974,-84.3013958
68176127,33.7525969,-84.2986549
68176132,33.7526627,-84.2970392
68177487,33.7565085,-84.3451675
68178034,33.7602309,-84.3267863
68178036,33.761679,-84.32707
68178037,33.762547,-84.327239
68178046,33.7632782,-84.327282
68178806,33.7727163,-84.3438751
68178828,33.7728131,-84.3417974
68178830,33.7728269,-84.3416428
68178861,33.7737724,-84.3371723
68178863,33.7739057,-84.3371289
