osmid,x,y
68147083,-84.3489307,33.7604903
68147084,-84.3488601,33.7602763
68147089,-84.3491721,33.761836
68196556,-84.3491224,33.7601562
68204066,-84.292042,33.747054
68367940,-84.3126041,33.7654019
68402232,-84.3481864,33.8454066
69101504,-84.3578537,33.8519098
69102633,-84.4365877,33.8624169
69102642,-84.3877485,33.7957391
69109821,-84.3685769,33.8213305
69109828,-84.366776,33.820646
69109861,-84.3665961,33.8213035
69112333,-84.384559,33.754208
69114062,-84.389064,33.79566
69115445,-84.4176082,33.7411374
69118334,-84.418471,33.740684
69120868,-84.3941689,33.6976799
69124438,-84.3926257,33.7368866
69124550,-84.3681417,33.7427994
69129631,-84.3944783,33.7445738
69131077,-84.393632,33.732332
69133293,-84.3493108,33.7600691
69134855,-84.4441438,33.7510499
69141233,-84.3861598,33.7673582
69142135,-84.367104,33.8258152
69146707,-84.372027,33.761356
69146733,-84.371957,33.763958
69146775,-84.371773,33.771176
69149882,-84.3717802,33.7530828
69149894,-84.371167,33.751456
69150809,-84.3876553,33.7945499
69151302,-84.4922736,33.6914282
69154661,-84.370978,33.751516
69156536,-84.4078149,33.8036923
69156539,-84.394149,33.742594
69156552,-84.393764,33.7419326
69157530,-84.3896577,33.7545038
69157532,-84.3900451,33.7545015
69167140,-84.392145,33.752069
69167141,-84.390963,33.751416
69167148,-84.389855,33.750801
69167151,-84.388458,33.750039
69167153,-84.387283,33.7493633
69167160,-84.3869429,33.7491063
69167206,-84.375158,33.747448
69169084,-84.429453,33.701576
69171444,-84.4028167,33.7538942
69171473,-84.389338,33.74892
69171476,-84.390663,33.749647
69171479,-84.3918849,33.7503138
69171482,-84.393032,33.75094
69171513,-84.3956705,33.7523901
69171544,-84.3995582,33.753836
69172080,-84.3821154,33.7621939
69172091,-84.3820698,33.7641966
69172101,-84.382012,33.767878
69172106,-84.381893,33.77128
69172112,-84.381782,33.772501
69172419,-84.50477,33.758999
69172566,-84.3934384,33.7528015
69172569,-84.3947703,33.753536
69172654,-84.417541,33.7547129
69172899,-84.467467,33.751877
69178704,-84.356454,33.811468
69189264,-84.3932817,33.7866237
69189823,-84.3784564,33.7168838
69190067,-84.4174867,33.7634781
69190088,-84.4173698,33.7730463
69190110,-84.4172193,33.782721
69191500,-84.349534,33.7599573
69191561,-84.39193,33.7646339
69191620,-84.3961483,33.7645958
69193021,-84.3742841,33.8485466
69193465,-84.3882349,33.7216823
69193472,-84.3851487,33.7192469
69193533,-84.3685804,33.7138195
69195707,-84.3969326,33.7469947
69202382,-84.4337219,33.7390779
69207768,-84.382666,33.8543122
69208060,-84.4081592,33.7382005
69209152,-84.513966,33.77014
69209167,-84.515044,33.77312
69215120,-84.3926991,33.7433183
69215127,-84.3933701,33.7441448
69215132,-84.3930895,33.7442534
69215148,-84.3925657,33.7426016
69215185,-84.3926103,33.736313
69216947,-84.3798993,33.8394157
69221847,-84.3681454,33.7424634
69233166,-84.388524,33.7217182
69233189,-84.3933717,33.7220942
69233203,-84.397612,33.7221027
69233222,-84.407857,33.722179
69239416,-84.409836,33.742623
69239982,-84.3659228,33.8080555
69244831,-84.412844,33.73823
69244864,-84.4137348,33.7321093
69245196,-84.3875364,33.7622584
69245675,-84.394415,33.746947
69255167,-84.380058,33.707306
69255302,-84.36741,33.680255
69255446,-84.367923,33.6540149
69255657,-84.407851,33.718273
69255685,-84.418075,33.718309
69255843,-84.3675864,33.8206479
69256277,-84.383443,33.77128
69256333,-84.352517,33.771075
69256337,-84.348982,33.771081
69258160,-84.3571095,33.8244925
69258170,-84.3561049,33.824008
69262915,-84.385384,33.767399
69262916,-84.3840925,33.7674641
69291433,-84.4076991,33.6812787
69292799,-84.37215,33.754305
69292859,-84.3701132,33.7496793
69292866,-84.36879,33.7484365
69292876,-84.368105,33.746705
69304657,-84.396027,33.761341
69306801,-84.467432,33.752283
69306830,-84.4686572,33.7557939
69306831,-84.4687948,33.7561554
69306883,-84.470033,33.76362
69310540,-84.418293,33.726554
69310560,-84.4251963,33.7182043
69310874,-84.4118299,33.7877787
69312483,-84.39199,33.763727
69312491,-84.3914283,33.7643995
69314896,-84.418311,33.698583
69316417,-84.489067,33.689607
69316556,-84.506362,33.682871
69320144,-84.4182716,33.7013797
69324146,-84.3674214,33.8214367
69324206,-84.3575122,33.8204682
69324227,-84.3516511,33.8184334
69325505,-84.3533146,33.8485875
69326139,-84.3933694,33.7219464
69326265,-84.389003,33.753883
69326288,-84.3927492,33.7492274
69326333,-84.3945144,33.7419441
69326341,-84.3946002,33.736879
69331014,-84.4328694,33.7390328
69339775,-84.411655,33.785801
69340013,-84.4168693,33.8186965
69340214,-84.4111502,33.781578
69342303,-84.384139,33.7643532
69342310,-84.384171,33.7622132
69348285,-84.3910817,33.7368504
69348334,-84.387872,33.736843
69348370,-84.373638,33.736598
69349366,-84.408163,33.742171
69349378,-84.411145,33.741094
